name,university,university_rank,areaname,homepage,google_scholar,dblp,pub,adj
David P. Woodruff,Carnegie Mellon University,1,"ML, THEORY",http://www.cs.cmu.edu/~dwoodruf/,https://scholar.google.com/citations?user=kMmxbbIAAAAJ&hl=en&oi=ao,https://dblp.org/pid/w/DPWoodruff.html,99,33.7
Guang Wang,Florida State University,78,HCI,https://guangwang.me/#/home,https://scholar.google.com/citations?user=DfHyVboAAAAJ&hl=en&oi=ao,https://dblp.org/pid/54/1738.html,13,2.2
