Faculty Name,# Pubs,Adj. #,University,Faculty Home Page,dblp
Geoffrey J. Gordon  ml,29.0,8.1,Carnegie Mellon University,http://www.cs.cmu.edu/~ggordon,https://dblp.org/pers/hd/g/Gordon:Geoffrey_J%3D
Jason I. Hong  hci,29.0,6.7,Carnegie Mellon University,http://www.cs.cmu.edu/~jasonh,https://dblp.org/pers/hd/h/Hong:Jason_I%3D
Christian Kästner  se,29.0,6.6,Carnegie Mellon University,https://www.cs.cmu.edu/~ckaestne,https://dblp.org/pers/hd/k/K=auml=stner:Christian
David Held  robotics,27.0,6.9,Carnegie Mellon University,http://davheld.github.io,https://dblp.org/pers/hd/h/Held:David
Aniket Kittur  hci,27.0,6.9,Carnegie Mellon University,https://www.hcii.cmu.edu/people/aniket-kittur,https://dblp.org/pers/hd/k/Kittur:Aniket
Pravesh Kothari  theory,27.0,8.1,Carnegie Mellon University,https://www.cs.cmu.edu/~praveshk,https://dblp.org/pers/hd/k/Kothari:Pravesh
"Benjamin Moseley  theory  ,  ml",27.0,8.0,Carnegie Mellon University,http://www.andrew.cmu.edu/user/moseleyb,https://dblp.org/pers/hd/m/Moseley:Benjamin
Brad A. Myers  hci,27.0,7.3,Carnegie Mellon University,http://www.cs.cmu.edu/~bam,https://dblp.org/pers/hd/m/Myers:Brad_A%3D
Lining Yao  hci,27.0,4.4,Carnegie Mellon University,http://morphingmatter.cs.cmu.edu,https://dblp.org/pers/hd/y/Yao:Lining
Aarti Singh  ml,26.0,7.5,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,https://dblp.org/pers/hd/s/Singh:Aarti
"David G. Andersen  networks  ,  db",24.0,5.3,Carnegie Mellon University,https://www.cs.cmu.edu/~dga,https://dblp.org/pers/hd/a/Andersen:David_G%3D
"Christos Faloutsos  web+ir  ,  db",24.0,6.1,Carnegie Mellon University,http://www.cs.cmu.edu/~christos,https://dblp.org/pers/hd/f/Faloutsos:Christos
"Matt Fredrikson  ml  ,  security",24.0,7.1,Carnegie Mellon University,http://www.cs.cmu.edu/~mfredrik,https://dblp.org/pers/hd/f/Fredrikson:Matt
Bryan Parno  security,24.0,4.3,Carnegie Mellon University,https://www.cylab.cmu.edu/education/faculty/parno.html,https://dblp.org/pers/hd/p/Parno:Bryan
Srinivasan Seshan  networks,23.0,4.8,Carnegie Mellon University,http://www.cs.cmu.edu/~srini,https://dblp.org/pers/hd/s/Seshan:Srinivasan
Yuvraj Agarwal  hci,22.0,4.9,Carnegie Mellon University,http://www.synergylabs.org/yuvraj,https://dblp.org/pers/hd/a/Agarwal:Yuvraj
"Lujo Bauer  hci  ,  security",22.0,3.2,Carnegie Mellon University,http://www.ece.cmu.edu/~lbauer,https://dblp.org/pers/hd/b/Bauer:Lujo
Katerina Fragkiadaki  vision,22.0,5.5,Carnegie Mellon University,https://www.cs.cmu.edu/~katef,https://dblp.org/pers/hd/f/Fragkiadaki:Katerina
Phillip B. Gibbons  arch,22.0,3.7,Carnegie Mellon University,http://www.cs.cmu.edu/~gibbons,https://dblp.org/pers/hd/g/Gibbons:Phillip_B%3D
Matthew T. Mason  robotics,22.0,7.1,Carnegie Mellon University,http://www.cs.cmu.edu/~mason,https://dblp.org/pers/hd/m/Mason:Matthew_T%3D
Ryan O'Donnell  theory,22.0,8.2,Carnegie Mellon University,http://www.cs.cmu.edu/~odonnell,https://dblp.org/pers/hd/o/O=Donnell:Ryan
"Norman M. Sadeh  hci  ,  nlp",22.0,4.2,Carnegie Mellon University,http://www.normsadeh.org,https://dblp.org/pers/hd/s/Sadeh:Norman_M%3D
Ameet Talwalkar  ml,22.0,5.2,Carnegie Mellon University,https://www.cs.cmu.edu/~atalwalk,https://dblp.org/pers/hd/t/Talwalkar:Ameet
Bogdan Vasilescu  se,22.0,5.0,Carnegie Mellon University,http://bvasiles.github.io,https://dblp.org/pers/hd/v/Vasilescu:Bogdan
"Ioannis Gkioulekas  graphics  ,  vision",21.0,5.5,Carnegie Mellon University,http://ri.cmu.edu/ri-faculty/ioannis-gkioulekas,https://dblp.org/pers/hd/g/Gkioulekas:Ioannis
Brandon Lucia  arch,21.0,7.3,Carnegie Mellon University,http://brandonlucia.com,https://dblp.org/pers/hd/l/Lucia:Brandon
Maarten Sap  nlp,21.0,3.7,Carnegie Mellon University,https://maartensap.com,https://dblp.org/pers/hd/s/Sap:Maarten
"Anupam Datta  security  ,  ai",20.0,4.9,Carnegie Mellon University,http://www.andrew.cmu.edu/user/danupam,https://dblp.org/pers/hd/d/Datta:Anupam
"Matthew O'Toole  vision  ,  graphics",20.0,4.9,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/matthew-otoole,https://dblp.org/pers/hd/o/O=Toole:Matthew
Carolyn P. Rosé  nlp,20.0,5.6,Carnegie Mellon University,http://www.cs.cmu.edu/~cprose,https://dblp.org/pers/hd/r/Ros=eacute=:Carolyn_P%3D
Jodi Forlizzi  hci,19.0,3.8,Carnegie Mellon University,https://www.hcii.cmu.edu/people/jodi-forlizzi,https://dblp.org/pers/hd/f/Forlizzi:Jodi
Gregory R. Ganger  os,19.0,3.2,Carnegie Mellon University,https://www.ece.cmu.edu/~ganger,https://dblp.org/pers/hd/g/Ganger:Gregory_R%3D
Carl Kingsford  comp. bio,19.0,6.7,Carnegie Mellon University,http://www.cs.cmu.edu/~ckingsf,https://dblp.org/pers/hd/k/Kingsford:Carl
