,Faculty Name,# Pubs,Adj. #,University,Faculty Home Page,dblp,providing_assitantship,matched_ratio
0,Graham Neubig  nlp,135.0,35.1,Carnegie Mellon University,http://www.phontron.com,https://dblp.org/pers/hd/n/Neubig:Graham,0,0.0
1,Abhinav Gupta 0001  vision,111.0,32.3,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,https://dblp.org/pers/hd/g/Gupta_0001:Abhinav,0,0.0
2,"David P. Woodruff  ml  ,  theory",99.0,33.7,Carnegie Mellon University,http://www.cs.cmu.edu/~dwoodruf,https://dblp.org/pers/hd/w/Woodruff:David_P%3D,0,0.0
3,Howie Choset  robotics,83.0,19.5,Carnegie Mellon University,http://www.cs.cmu.edu/~./choset,https://dblp.org/pers/hd/c/Choset:Howie,0,0.0
4,"Tuomas Sandholm  ai  ,  ml",80.0,29.8,Carnegie Mellon University,http://www.cs.cmu.edu/~sandholm,https://dblp.org/pers/hd/s/Sandholm:Tuomas,0,0.0
5,Pradeep Ravikumar  ml,79.0,20.8,Carnegie Mellon University,http://www.cs.cmu.edu/~pradeepr,https://dblp.org/pers/hd/r/Ravikumar:Pradeep,0,0.0
6,Martial Hebert  vision,78.0,22.0,Carnegie Mellon University,http://www.cs.cmu.edu/~./hebert,https://dblp.org/pers/hd/h/Hebert:Martial,0,0.0
7,Deva Ramanan  vision,77.0,24.4,Carnegie Mellon University,http://www.cs.cmu.edu/~deva,https://dblp.org/pers/hd/r/Ramanan:Deva,0,0.0
8,J. Zico Kolter  ml,69.0,21.5,Carnegie Mellon University,http://www.zicokolter.com,https://dblp.org/pers/hd/k/Kolter:J%3D_Zico,0,0.0
9,Maxim Likhachev  robotics,66.0,19.8,Carnegie Mellon University,https://www.ri.cmu.edu/ri-faculty/maxim-likhachev,https://dblp.org/pers/hd/l/Likhachev:Maxim,0,0.0
10,Elaine Shi  security,61.0,15.9,Carnegie Mellon University,http://elaineshi.com,https://dblp.org/pers/hd/s/Shi:Elaine,1,0.18181818181818182
11,Chris Harrison 0001  hci,58.0,16.3,Carnegie Mellon University,http://www.chrisharrison.net,https://dblp.org/pers/hd/h/Harrison_0001:Chris,0,0.0
12,Vincent Conitzer  ai,55.0,21.6,Carnegie Mellon University,https://users.cs.duke.edu/~conitzer,https://dblp.org/pers/hd/c/Conitzer:Vincent,0,0.0
13,Louis-Philippe Morency  nlp,53.0,11.5,Carnegie Mellon University,https://www.cs.cmu.edu/~morency,https://dblp.org/pers/hd/m/Morency:Louis%3DPhilippe,0,0.0
14,Vyas Sekar  networks,53.0,10.2,Carnegie Mellon University,https://users.ece.cmu.edu/~vsekar,https://dblp.org/pers/hd/s/Sekar:Vyas,0,0.0
15,Zhiwei Steven Wu  ml,52.0,12.8,Carnegie Mellon University,https://zstevenwu.com,https://dblp.org/pers/hd/w/Wu:Zhiwei_Steven,0,0.0
16,Scott E. Hudson  hci,48.0,11.9,Carnegie Mellon University,http://www.cs.cmu.edu/~hudson,https://dblp.org/pers/hd/h/Hudson:Scott_E%3D,0,0.0
17,J. Andrew Bagnell  robotics,47.0,12.3,Carnegie Mellon University,http://www.ri.cmu.edu/person.html?person_id=689,https://dblp.org/pers/hd/b/Bagnell:J%3D_Andrew,0,0.0
18,Tom M. Mitchell  nlp,46.0,14.0,Carnegie Mellon University,http://www.cs.cmu.edu/~tom,https://dblp.org/pers/hd/m/Mitchell:Tom_M%3D,0,0.0
19,Vipul Goyal  crypto,45.0,15.1,Carnegie Mellon University,https://www.cs.cmu.edu/~goyal,https://dblp.org/pers/hd/g/Goyal:Vipul,0,0.0
20,Yuanzhi Li  ml,44.0,15.5,Carnegie Mellon University,https://web.stanford.edu/~yuanzhil,https://dblp.org/pers/hd/l/Li:Yuanzhi,0,0.0
21,Jun-Yan Zhu  vision,43.0,8.8,Carnegie Mellon University,https://people.csail.mit.edu/junyanz,https://dblp.org/pers/hd/z/Zhu:Jun%3DYan,0,0.0
22,Venkatesan Guruswami  theory,42.0,16.8,Carnegie Mellon University,http://www.cs.cmu.edu/~venkatg,https://dblp.org/pers/hd/g/Guruswami:Venkatesan,0,0.0
23,Maria-Florina Balcan  ml,41.0,12.4,Carnegie Mellon University,https://www.cs.cmu.edu/~ninamf,https://dblp.org/pers/hd/b/Balcan:Maria%3DFlorina,0,0.0
24,"Yiming Yang  ml  ,  nlp",41.0,10.9,Carnegie Mellon University,http://www.cs.cmu.edu/~./yiming,https://dblp.org/pers/hd/y/Yang:Yiming,0,0.0
25,Anupam Gupta 0001  theory,40.0,12.1,Carnegie Mellon University,http://www.cs.cmu.edu/~anupamg,https://dblp.org/pers/hd/g/Gupta_0001:Anupam,1,0.09090909090909091
26,Fei Fang  ai,37.0,8.1,Carnegie Mellon University,https://www.andrew.cmu.edu/user/feif,https://dblp.org/pers/hd/f/Fang:Fei,0,0.0
27,Srinivasa G. Narasimhan  vision,37.0,9.6,Carnegie Mellon University,http://www.cs.cmu.edu/~srinivas,https://dblp.org/pers/hd/n/Narasimhan:Srinivasa_G%3D,0,0.0
28,"Lorrie Faith Cranor  hci  ,  security",35.0,5.8,Carnegie Mellon University,http://lorrie.cranor.org,https://dblp.org/pers/hd/c/Cranor:Lorrie_Faith,1,0.09090909090909091
29,Andrew Pavlo  db,34.0,7.0,Carnegie Mellon University,http://www.cs.cmu.edu/~pavlo,https://dblp.org/pers/hd/p/Pavlo:Andrew,1,0.18181818181818182
30,Nicolas Christin  security,32.0,7.2,Carnegie Mellon University,http://www.andrew.cmu.edu/user/nicolasc,https://dblp.org/pers/hd/c/Christin:Nicolas,0,0.0
31,Yonatan Bisk  nlp,31.0,7.7,Carnegie Mellon University,https://yonatanbisk.com,https://dblp.org/pers/hd/b/Bisk:Yonatan,0,0.0
32,Mayank Goel  hci,31.0,6.8,Carnegie Mellon University,https://www.hcii.cmu.edu/people/mayank-goel,https://dblp.org/pers/hd/g/Goel:Mayank,0,0.0
33,Bernhard Haeupler  theory,31.0,12.6,Carnegie Mellon University,http://www.cs.cmu.edu/~haeupler,https://dblp.org/pers/hd/h/Haeupler:Bernhard,1,0.09090909090909091
34,Jessica K. Hodgins  graphics,31.0,7.6,Carnegie Mellon University,http://www.cs.cmu.edu/~jkh,https://dblp.org/pers/hd/h/Hodgins:Jessica_K%3D,0,0.0
35,"Swarun Kumar  mobile  ,  networks",31.0,7.4,Carnegie Mellon University,https://swarunkumar.com,https://dblp.org/pers/hd/k/Kumar:Swarun,1,0.09090909090909091
36,Deepak Pathak  ml,31.0,8.2,Carnegie Mellon University,https://people.eecs.berkeley.edu/~pathak,https://dblp.org/pers/hd/p/Pathak:Deepak,0,0.0
37,Shubham Tulsiani  vision,31.0,8.3,Carnegie Mellon University,https://shubhtuls.github.io,https://dblp.org/pers/hd/t/Tulsiani:Shubham,0,0.0
38,Alan W. Black  nlp,29.0,7.6,Carnegie Mellon University,https://www.cs.cmu.edu/~awb,https://dblp.org/pers/hd/b/Black:Alan_W%3D,0,0.0
39,Geoffrey J. Gordon  ml,29.0,8.1,Carnegie Mellon University,http://www.cs.cmu.edu/~ggordon,https://dblp.org/pers/hd/g/Gordon:Geoffrey_J%3D,0,0.0
40,Jason I. Hong  hci,29.0,6.7,Carnegie Mellon University,http://www.cs.cmu.edu/~jasonh,https://dblp.org/pers/hd/h/Hong:Jason_I%3D,0,0.0
41,Christian Kästner  se,29.0,6.6,Carnegie Mellon University,https://www.cs.cmu.edu/~ckaestne,https://dblp.org/pers/hd/k/K=auml=stner:Christian,0,0.0
42,David Held  robotics,27.0,6.9,Carnegie Mellon University,http://davheld.github.io,https://dblp.org/pers/hd/h/Held:David,0,0.0
