,Faculty Home Page,# Pubs,Adj. #
,https://www.cs.cmu.edu/~atalwalk,https://dblp.org/pers/hd/t/Talwalkar:Ameet,5.2
,http://bvasiles.github.io,https://dblp.org/pers/hd/v/Vasilescu:Bogdan,5.0
,http://ri.cmu.edu/ri-faculty/ioannis-gkioulekas,https://dblp.org/pers/hd/g/Gkioulekas:Ioannis,5.5
,http://brandonlucia.com,https://dblp.org/pers/hd/l/Lucia:Brandon,7.3
,https://maartensap.com,https://dblp.org/pers/hd/s/Sap:Maarten,3.7
,http://www.andrew.cmu.edu/user/danupam,https://dblp.org/pers/hd/d/Datta:Anupam,4.9
,https://www.ri.cmu.edu/ri-faculty/matthew-otoole,https://dblp.org/pers/hd/o/O=Toole:Matthew,4.9
,http://www.cs.cmu.edu/~cprose,https://dblp.org/pers/hd/r/Ros=eacute=:Carolyn_P%3D,5.6
,https://www.hcii.cmu.edu/people/jodi-forlizzi,https://dblp.org/pers/hd/f/Forlizzi:Jodi,3.8
,https://www.ece.cmu.edu/~ganger,https://dblp.org/pers/hd/g/Ganger:Gregory_R%3D,3.2
,http://www.cs.cmu.edu/~ckingsf,https://dblp.org/pers/hd/k/Kingsford:Carl,6.7
,https://www.davidlindlbauer.com,https://dblp.org/pers/hd/l/Lindlbauer:David,4.3
,http://www.cs.cmu.edu/~janh,https://dblp.org/pers/hd/h/Hoffmann_0002:Jan,5.8
,http://www.cs.cmu.edu/~beckmann,https://dblp.org/pers/hd/b/Beckmann:Nathan,4.6
,http://www.cs.cmu.edu/~kmcrane,https://dblp.org/pers/hd/c/Crane:Keenan,5.9
,https://www.cs.cmu.edu/~hgeyer,https://dblp.org/pers/hd/g/Geyer:Hartmut,6.1
,http://www.cs.cmu.edu/~jmccann,https://dblp.org/pers/hd/m/McCann:James,4.4
,https://math.mit.edu/~risteski,https://dblp.org/pers/hd/r/Risteski:Andrej,6.4
,http://www.stat.cmu.edu/~siva,https://dblp.org/pers/hd/b/Balakrishnan:Sivaraman,3.8
,https://users.ece.cmu.edu/~dbrumley,https://dblp.org/pers/hd/b/Brumley:David,4.4
,http://kraut.hciresearch.org,https://dblp.org/pers/hd/k/Kraut:Robert_E%3D,4.9
,https://users.ece.cmu.edu/~raj,https://dblp.org/pers/hd/r/Rajkumar:Ragunathan,5.6
,https://www.cs.cmu.edu/~johnz,https://dblp.org/pers/hd/z/Zimmerman:John,3.5
,http://www.ri.cmu.edu/people/kanade_takeo.html,https://dblp.org/pers/hd/k/Kanade:Takeo,4.5
,http://www.justinesherry.com,https://dblp.org/pers/hd/s/Sherry:Justine,3.2
,https://www.cs.cmu.edu/~dskarlat,https://dblp.org/pers/hd/s/Skarlatos_0002:Dimitrios,2.6
,https://www.hcii.cmu.edu/people/jessica-hammer,https://dblp.org/pers/hd/h/Hammer:Jessica,3.2
,http://users.ece.cmu.edu/~smithv,https://dblp.org/pers/hd/s/Smith:Virginia,3.4
,http://www.cs.cmu.edu/~callan,https://dblp.org/pers/hd/c/Callan:James_P%3D,5.3
,https://dpfried.github.io,https://dblp.org/pers/hd/f/Fried:Daniel,3.8
,http://www.cs.cmu.edu/~cga,https://dblp.org/pers/hd/a/Atkeson:Christopher_G%3D,3.9
,http://www.cs.cmu.edu/~harchol,https://dblp.org/pers/hd/h/Harchol=Balter:Mor,3.7
,https://users.ece.cmu.edu/~dianam,https://dblp.org/pers/hd/m/Marculescu:Diana,3.3
,http://www.cs.cmu.edu/~ehn,https://dblp.org/pers/hd/n/Nyberg:Eric,3.4
,http://symbolaris.com,https://dblp.org/pers/hd/p/Platzer:Andr%3Deacute%3D,6.0
,http://www.cs.cmu.edu/~nsp,https://dblp.org/pers/hd/p/Pollard:Nancy_S%3D,3.0
,http://www.cs.cmu.edu/~nihars,https://dblp.org/pers/hd/s/Shah:Nihar_B%3D,4.3
,http://www.lauradabbish.com,https://dblp.org/pers/hd/d/Dabbish:Laura_A%3D,3.0
